AHJID,AHJ,State
1556,Upland,CA
1559,Portland General Electric,OR
1560,Medford,OR
1564,Bell Gardens,CA
1565,Corvallis,OR
1566,Roseburg,OR
1571,Riverbank,CA
1572,Moonridge Golf Estates Association,AZ
1574,California City,CA
1575,Victorville,CA
1576,Trophy Club,TX
1577,Beaumont,CA
1578,Oso Valley Greenbelt Association,CA
1579,Pima County,AZ
1580,Addison,TX
1581,Florence,AZ
1582,Fort Worth,TX
1583,Lone Tree,CO
1584,Pantego,TX
1585,Midlothian,TX
1586,Corinth,TX
1587,Mansfield,TX
1588,Benbrook,TX
1589,Bedford,TX
1590,Colleyville,TX
1591,Hurst,TX
1592,Euless,TX
1594,Haltom,TX
1595,Flower Mound,TX
1596,Fowler,CA
1597,La Mirada,CA
1599,Oregon,OR
1601,Santa Cruz County,AZ
1602,Burleson,TX
1603,Saginaw,TX
1605,Jackson County,OR
1606,Merced County,CA
1607,Tarrant County,TX
1608,Cedar Hill,TX
1609,Duncanville,TX
1610,Haslet,TX
1620,Texas,TX
1621,Colorado,CO
1625,California,CA
1626,Arizona,AZ
1632,Vista Norte,
1637,Chowchilla,CA
1640,CZ Master Association c/o Keystone Property Management,CA
1641,Lake Forest Master Association,
1642,Optimum Property Management,
1643,Mottberry Association C/O PCM,
1644,Capistrano Royale Association C/O Optimum Property Management,
1646,Calimesa,CA
1648,Riverside,CA
1649,Cherry Hills Village,CO
1650,Wheatland,CA
1651,Serrano - El Dorado,CA
1652,Colusa County,CA
1653,Watauga,TX
1654,Farmersville,CA
1655,ONCOR,TX
1656,Coppell,TX
1657,Sutter Creek,CA
1658,Annetta,TX
1660,Everman,TX
1661,Signal Hill,CA
1662,Willow Park,TX
1663,Springtown,TX
1664,Wise County,TX
1665,Ennis,TX
1670,Los Angeles HPOZ,CA
1673,Los Angeles HPOZ,CA
1675,Parker County,TX
1677,Yuma County,AZ
1678,Adelanto,CA
1679,Lindsay,CA
1680,Delano,CA
1681,Oregon Solar Installation Specialty Code (OSISC),OR
1684,Inglewood,CA
1685,North Richland Hills,TX
1686,Forney,TX
1687,Centennial,CO
1688,Solar Photovoltaic Installation Guidelines - CA State Fire Marshal,CA
1689,Rivergrove,OR
1690,California Coastal Commission,CA
1691,Adams County,CO
1692,Cresson,TX
1693,Gainesville,TX
1694,Frisco,TX
1695,Corsicana,TX
1696,Lancaster,TX
1697,Retreat,TX
1698,DeSoto,TX
1701,Ellis County,TX
1703,Marina,CA
1704,Lake Dallas,TX
1705,Compton,CA
1706,Argyle,TX
1707,Oak Point,TX
1708,Troutdale,OR
1711,San Luis,AZ
1714,Edgecliff Village,TX
1715,Oregon City,OR
1716,Winslow,AZ
1717,Ovilla,TX
1718,Lowry Crossing,TX
1719,Cirro Energy,TX
1720,Barstow,CA
1721,Fairfield,CA
1722,Ridgecrest,CA
1723,Waxahachie,TX
1724,Keizer,OR
1725,Larimer County,CO
1726,Westwind Management Group,CO
1727,Moorpark,CA
1728,Yuma,AZ
1729,Gila County,AZ
1730,Sunnyvale,TX
1731,Johnstown,CO
1733,Salem Electric,OR
1734,Forest Heights ARC,OR
1739,Yucca Valley,CA
1741,Inyo County,CA
1742,Greeley,CO
1746,Englewood,CO
1748,Morrison,CO
1749,Willamina,OR
1754,Castle Pines,CO
1755,Paramount,CA
1756,Tehama County,CA
1757,Ceres City,CA
1758,Yamhill County,Or
1759,La Salle,CO
1760,Desert Hot Springs,CA
1761,Coolidge,AZ
1762,Shasta County,CA
1763,Sandy,OR
1764,Gila Bend,AZ
1765,Gladstone,OR
1766,Tualatin,OR
1767,Glenn County,CA
1768,Santa Fe Springs,CA
1769,Toronto Hydro Corporation,ON
1770,Evans,CO
1771,Jacksboro,TX
1772,Arp,TX
1773,Pacific Grove,CA
1774,Lyons,OR
1775,Baldwin Park,CA
1776,New Solar Homes Partnership (NSHP),
1777,Payson,AZ
1778,Linn County,OR
1779,Ione,CA
1780,Platteville,CO
1781,Taft,CA
1782,Twentynine Palms,CA
1783,Milliken,CO
1785,Severance,CO
1786,Mariposa County,CA
1787,Woodburn,OR
1788,Sugar Land,TX
1789,Bradbury,CA
1790,Rancho Mirage,CA
1791,Red Bluff,CA
1793,Independence,OR
1794,Washington,DC
1795,Montgomery County,MD
1796,Rockville,MD
1797,Concha Townhome Neighbors,CO
1798,Anne Arundel County,MD
1799,Baltimore County,MD
1800,Frederick County,MD
1801,Howard County,MD
1802,Prince George's County,MD
1803,Rosemead,CA
1804,Baltimore City,MD
1805,West Linn,OR
1806,Brisbane,CA
1807,Colorado Association Management and Associates,CO
1808,Coconino County,AZ
1809,Prescott Valley,AZ
1811,Orange County Fire Authority,CA
1812,Newman,CA
1814,Molalla,OR
1815,Maryland,MD
1816,Massachusetts,MA
1817,New Jersey,NJ
1818,New York,NY
1819,Washington D.C.,DC
1820,Damascus,OR
1821,Boston,MA
1822,Aquila (West Plains Energy),CO
1823,Delta Montrose Electric Assn,CO
1825,"Empire Electric Assn, Inc",CO
1826,Fort Collins City of,CO
1827,Highline Electric Assn,CO
1829,Intermountain Rural Electric Association,CO
1830,"Grand Valley Rrl Pwr Line, Inc",CO
1831,"La Plata Electric Assn, Inc",CO
1832,"Mountain View Elec Assn, Inc",CO
1834,"San Miguel Power Assn, Inc",CO
1835,Southeast Colorado Power Assn,CO
1836,United Power,CO
1838,Groton Utilities (CT),CT
1839,Norwich Public Utilities,CT
1840,United Illuminating Company,CT
1841,PEPCO (DC),DC
1842,City of Dover,DE
1843,City of Lewes,DE
1844,City of Milford,DE
1845,City of Newark,DE
1846,Delaware Electric Cooperative,DE
1847,Delmarva Power (DE),DE
1848,Town of Middletown (DE),DE
1849,Town of Smyrna,DE
1850,Chicopee Electric Light Company,MA
1851,Taunton Municipal Light Plant,MA
1852,Concord Municipal Light Plant,MA
1853,Holden Municipal Light Department,MA
1854,Holyoke Gas & Electric (HG&E),MA
1855,National Grid USA (Massachusetts Electric),MA
1856,National Grid USA (Nantucket Electric),MA
1857,Eversource Energy (NSTAR-Boston Edison),MA
1858,Eversource Energy (NSTAR-Cambridge Electric Light),MA
1859,Eversource Energy - South Shore (NSTAR-Commonwealth Electric),MA
1860,Russell Electric Light Department,MA
1861,Templeton Municipal Light and Water Plant,MA
1862,Town of Ipswich,MA
1863,Unitil (Fitchburg Gas and Electric Company),MA
1865,Potomac Edison (MD),MD
1866,BGE (Baltimore Gas and Electric),MD
1867,Choptank Electric,MD
1868,Hagerstown Light Department,MD
1869,Delmarva Power (MD),MD
1870,Easton Utilities,MD
1871,PEPCO (MD),MD
1872,Southern Maryland Electric Coop.,MD
1873,Atlantic City Electric,NJ
1874,First Energy (Jersey Central Power & Light),NJ
1875,Orange & Rockland NJ (Rockland Electric),NJ
1877,PSE&G-New Jersey,NJ
1878,Sussex Rural Electric Cooperative (SREC),NJ
1879,"Akron, Village",NY
1880,"Angelica, Village of",NY
1881,"Bergen, Village of",Ny
1882,Central Hudson Gas & Electric,NY
1883,"Churchville, Village of",NY
1884,Consolidated Edison,NY
1885,Endicott Municipal Light,NY
1886,Fishers Island,NY
1887,Frankfort Power & Light,NY
1888,Freeport Electric,NY
1889,Jamestown BPU,NY
1890,PSE&G-Long Island,NY
1891,National Grid (Niagara Mohawk),NY
1892,New York State Electric and Gas (NYSEG),NY
1893,Orange and Rockland (NY),NY
1894,Rochester Gas and Electric,NY
1895,Village of Castile,NY
1896,West Penn Power,PA
1898,Citizens,PA
1899,Duquesne,PA
1900,First Energy (Pennsylvania Electric Co),PA
1901,Met-Ed,PA
1902,PECO,PA
1903,Penn Power,PA
1905,PPL Electric Utilities,PA
1906,UGI,PA
1907,Wellsboro,PA
1908,AEP (SWEPCO),TX
1909,AEP Texas Central (CPL),TX
1910,"AEP Texas North (WTU, West Texas Utilities)",TX
1911,Austin Energy (City of Austin),TX
1912,Bandera Electric Cooperative Inc.,TX
1913,"Bellville, City of",TX
1914,Bluebonnet Electric Cooperative,TX
1915,"Bowie, City of",TX
1916,Bowie-Cass Electric Cooperative,TX
1917,"Bridgeport, City of",TX
1918,"Brownfield, City of",TX
1919,Brownsville Public Utilities Board,TX
1920,"Bryan, City of",TX
1921,"Burnet, City of",TX
1923,"Caldwell, City of",TX
1924,"Castroville, City of",TX
1925,"Central Texas Electric Cooperative, Inc.",TX
1926,Cherokee County Electric Cooperative Association,TX
1927,"College Station, City of",TX
1928,Comanche Electric Cooperative Association,TX
1929,"Concho Valley Electric Cooperative, Inc.",TX
1930,Cooke County Electric Cooperative,TX
1931,CoServ Electric Cooperative (Denton County Elect Coop),TX
1932,CPS Energy (City of San Antonio),TX
1933,"Deaf Smith Electric Cooperative, Inc.",TX
1934,Denton Municipal Utilities,TX
1935,El Paso Electric Company (Texas),TX
1936,"Electra, City of",TX
1937,Entergy (TX),TX
1938,Fannin County Electric Cooperative,TX
1939,Farmers Electric Cooperative (TX),TX
1940,"Farmersville, City of",TX
1941,First Choice Power (Texas-New Mexico Power Company),TX
1942,"Flatonia, City of",TX
1943,"Floydada, City of",TX
1944,Fort Belknap Electric Cooperative,TX
1945,"Fredericksburg, City of",TX
1946,City of Garland,TX
1947,"Georgetown, City of",TX
1948,"Goldthwaite, City of",TX
1949,"Gonzales, City of",TX
1950,"Granbury, City of",TX
1951,Grayson-Collin Electric Cooperative (GCEC),TX
1952,Greenville Electric Utitlity System (GEUS),TX
